SIMID;STATEX;STATEY;BALLX;BALLY;ACTION;REWARD
1;20;0;4;4;NONE;-2
1;20;1;5;5;DOWN;-2
1;20;2;6;6;DOWN;-2
1;20;3;7;7;DOWN;-2
1;20;4;8;8;DOWN;-2
1;20;5;9;9;DOWN;-2
1;20;6;10;8;DOWN;1
1;20;7;11;7;DOWN;1
1;20;7;12;6;NONE;-1
1;20;7;13;5;NONE;-2
1;20;7;14;4;NONE;-3
1;20;7;15;3;NONE;-4
1;20;6;16;2;UP;-4
1;20;7;17;1;DOWN;-6
1;20;7;18;0;NONE;-7
1;20;7;19;1;NONE;-6
1;20;7;20;2;NONE;-10
1;20;6;19;3;UP;-3
1;20;5;18;4;UP;-1
1;20;6;17;5;DOWN;-1
1;20;7;16;6;DOWN;-1
1;20;6;15;7;UP;1
1;20;5;14;8;UP;-1
1;20;4;13;9;UP;-3
1;20;5;12;8;DOWN;-1
1;20;4;11;7;UP;-1
1;20;3;10;6;UP;-1
1;20;2;9;5;UP;-1
1;20;3;8;4;DOWN;1
1;20;4;7;3;DOWN;-1
1;20;3;6;2;UP;-1
1;20;4;5;1;DOWN;-3
1;20;3;4;0;UP;-3
1;20;2;3;1;UP;-1
1;20;1;2;2;UP;1
1;20;2;1;3;DOWN;1
1;20;1;0;4;UP;-1
1;20;0;1;5;UP;-3
1;20;0;2;6;NONE;-4
1;20;1;3;7;DOWN;-4
1;20;2;4;8;DOWN;-4
1;20;3;5;9;DOWN;-4
1;20;4;6;8;DOWN;-2
1;20;3;7;7;UP;-2
1;20;4;8;6;DOWN;1
1;20;5;9;5;DOWN;1
1;20;4;10;4;UP;1
1;20;5;11;3;DOWN;-2
1;20;4;12;2;UP;-2
1;20;3;13;1;UP;-2
1;20;2;14;0;UP;-2
1;20;3;15;1;DOWN;-2
1;20;4;16;2;DOWN;-2
1;20;5;17;3;DOWN;-2
1;20;6;18;4;DOWN;-2
1;20;5;19;5;UP;1
1;20;6;20;6;DOWN;10
1;20;5;19;7;UP;1
1;20;4;18;8;UP;-2
1;20;5;17;9;DOWN;-2
1;20;6;16;8;DOWN;1
1;20;5;15;7;UP;1
1;20;4;14;6;UP;1
1;20;5;13;5;DOWN;1
1;20;4;12;4;UP;1
1;20;3;11;3;UP;1
1;20;2;10;2;UP;1
1;20;1;9;1;UP;1
1;20;0;8;0;UP;1
1;20;1;7;1;DOWN;1
1;20;2;6;2;DOWN;1
1;20;3;5;3;DOWN;1
1;20;4;4;4;DOWN;1
1;20;3;3;5;UP;1
1;20;2;2;6;UP;-2
1;20;3;1;7;DOWN;-2
1;20;4;0;8;DOWN;-2
1;20;5;1;9;DOWN;-2
1;20;4;2;8;UP;-2
1;20;3;3;7;UP;-2
1;20;2;4;6;UP;-2
1;20;3;5;5;DOWN;1
1;20;4;6;4;DOWN;1
1;20;5;7;3;DOWN;-2
1;20;4;8;2;UP;-2
1;20;5;9;1;DOWN;-4
1;20;4;10;0;UP;-4
1;20;3;11;1;UP;-2
1;20;4;12;2;DOWN;-2
1;20;5;13;3;DOWN;-2
1;20;6;14;4;DOWN;-2
1;20;7;15;5;DOWN;-2
1;20;7;16;6;NONE;-1
1;20;6;17;7;UP;1
1;20;5;18;8;UP;-1
1;20;4;19;9;UP;-3
1;20;3;20;8;UP;-10
1;20;2;19;7;UP;-3
1;20;3;18;6;DOWN;-1
1;20;4;17;5;DOWN;1
1;20;5;16;4;DOWN;-1
1;20;4;15;3;UP;-1
1;20;5;14;2;DOWN;-3
1;20;4;13;1;UP;-3
1;20;3;12;0;UP;-3
1;20;4;11;1;DOWN;-3
1;20;5;10;2;DOWN;-3
1;20;6;9;3;DOWN;-3
1;20;7;8;4;DOWN;-3
1;20;7;7;5;NONE;-2
1;20;7;6;6;NONE;-1
1;20;7;5;7;NONE;1
1;20;7;4;8;NONE;1
1;20;6;3;9;UP;-1
1;20;7;2;8;DOWN;1
1;20;7;1;7;NONE;1
1;20;6;0;6;UP;1
1;20;5;1;5;UP;1
1;20;6;2;4;DOWN;-2
